,city,pop_2018_est,mh_spaces
739,Interlaken,7191,
740,Live Oak,17390,101.0
741,Rio del Mar,9775,
742,Nipomo,17445,71.0
743,Oceanside,175389,2438.0
744,Markleeville,143,42.0
745,Morro Bay,10592,452.0
746,Fort Jones,832,5.0
747,Valinda,25296,
748,La Mirada,48974,150.0
749,La Verne,32358,1754.0
750,Lawndale,33007,110.0
751,Littlerock,1766,59.0
752,Marina del Rey,9771,
753,San Dimas,34239,906.0
754,San Gabriel,40242,
755,Alameda,78462,
756,Albany,19758,
757,Lynwood,71022,35.0
758,Fairview,10299,
759,San Lorenzo,25388,
760,Wofford Heights,1973,224.0
761,East Hemet,20679,
762,Homeland,7326,
763,Valle Vista,16879,
764,Bay Point,25165,728.0
765,Crockett,3094,
766,El Cerrito,25203,
767,Pinole,19264,
768,Rollingwood,3110,
769,Ojai,7555,860.0
770,Port Hueneme,22215,
771,Santa Paula,30258,775.0
772,Inverness,1127,
773,Point Reyes Station,290,
774,Lake Almanor West,126,
775,Portola,1912,128.0
776,Storrie,0,
777,Twain,33,20.0
778,Livingston,13997,114.0
779,East Palo Alto,29633,146.0
780,Redwood City,85217,834.0
781,San Bruno,43114,
782,Lafayette,26060,
783,Avalon,3763,17.0
784,Woodland,59044,617.0
785,Acton,7185,225.0
786,Arcadia,58207,
787,Bell,35809,80.0
788,Carson,92517,2238.0
789,Compton,97301,1769.0
790,Diamond Bar,56434,147.0
791,East San Gabriel,15932,
792,Panorama Heights,42,
793,Alturas,2577,67.0
794,Westwood,1545,103.0
795,Highland,54859,1119.0
796,Joshua Tree,6980,126.0
797,Morongo Valley,3262,154.0
798,Ontario,173580,2017.0
799,Yucca Valley,21543,772.0
800,Los Alamos,1623,106.0
801,Mission Canyon,2755,
802,Hemet,84069,6987.0
803,Indian Wells,5317,
804,Perris,76276,469.0
805,Bystrom,4099,
806,Waterford,8823,115.0
807,East Porterville,6679,
808,Ivanhoe,4198,
809,San Juan Capistrano,35952,1216.0
810,Tipton,3218,
811,Woodville,1852,
812,Rancho Santa Margarita,48792,
813,Olivehurst,13309,28.0
814,Big Bear Lake,5229,298.0
815,Gerber,1259,21.0
816,Geyserville,928,
817,Gold Mountain,0,
818,Good Hope,9173,
819,Goodyears Bar,29,
820,Grangeville,586,
821,Graniteville,0,
822,Greeley Hill,687,
823,Westminster,91417,2886.0
824,Marysville,12282,776.0
825,Tahoe Vista,1288,58.0
826,Moss Beach,3799,227.0
827,Inyokern,740,54.0
828,Burlingame,30459,
829,San Carlos,30080,
830,South San Francisco,67294,
831,Edwards AFB,2571,
832,Frazier Park,2570,81.0
833,McKittrick,127,
834,Squirrel Mountain Valley,1159,
835,Weedpatch,2238,
836,Mira Monte,6912,
837,Oxnard,207568,2787.0
838,Black Point-Green Point,1655,
839,Lucas Valley-Marinwood,6841,
840,Ross,2309,
841,San Geronimo,466,
842,Tamalpais-Homestead Valley,11261,
843,Woodacre,1303,
844,Grass Valley,12932,1272.0
845,Penn Valley,1424,161.0
846,Greenville,1108,62.0
847,Lake Almanor Peninsula,416,
