,city,mh_spaces
193,Cudahy,415.0
586,Pismo Beach,416.0
309,Half Moon Bay,420.0
209,Diamond Springs,421.0
567,Parker Dam,424.0
556,Pacoima,426.0
67,Bethel Island,426.0
804,Windsor,437.0
526,Norwalk,441.0
533,Oceano,443.0
417,Livermore,443.0
496,Morro Bay,452.0
631,Rocklin,454.0
306,Hacienda Heights,456.0
81,Blythe,459.0
595,Pollock Pines,460.0
462,Mckinleyville,467.0
575,Perris,469.0
529,Oakdale,479.0
126,Canyon Country,485.0
689,Seaside,488.0
437,Los Osos,493.0
79,Bloomington,496.0
197,Daly City,501.0
30,Aptos,503.0
375,La Habra,510.0
639,Rowland Heights,515.0
479,Milpitas,521.0
636,Roseville,522.0
426,Lomita,525.0
687,Scotts Valley,529.0
521,Niland,529.0
425,Loma Linda,530.0
199,Davis,531.0
348,Ione,534.0
746,Tracy,536.0
311,Hanford,545.0
160,Clearlake,550.0
153,Chino,554.0
449,Malibu,561.0
608,Rancho Cordova,561.0
756,Twentynine Palms,568.0
765,Van Nuys,569.0
353,Jamestown,570.0
795,Whittier,583.0
239,El Toro,585.0
511,Needles,586.0
45,Azusa,588.0
589,Placentia,595.0
506,N Highlands,602.0
607,Ramona,616.0
811,Woodland,617.0
32,Arcata,618.0
38,Atwater,628.0
750,Tulare,629.0
243,Encinitas,631.0
154,Chino Hills,632.0
148,Chatsworth,638.0
289,Goleta,650.0
387,Lake Forest,653.0
527,Novato,654.0
514,Newbury Park,666.0
590,Placerville,670.0
115,Calistoga,675.0
714,South Lake Tahoe,678.0
587,Pittsburg,679.0
129,Capitola,679.0
22,Anderson,691.0
601,Poway,696.0
752,Turlock,706.0
392,Lakeport,712.0
231,Eastvale,716.0
665,San Pablo,718.0
612,Red Bluff,721.0
364,Kelseyville,725.0
487,Montclair,728.0
55,Bay Point,728.0
271,Fremont,732.0
125,Canoga Park,732.0
452,Manteca,734.0
712,Soquel,739.0
325,Hesperia,741.0
227,Earp,742.0
286,Glendora,743.0
552,Pacheco,744.0
753,Tustin,744.0
248,Eureka,768.0
820,Yucca Valley,772.0
680,Santa Paula,775.0
458,Marysville,776.0
569,Paso Robles,778.0
186,Crescent City,781.0
251,Fallbrook,791.0
518,Newport Beach,795.0
725,Sun City,802.0
703,Simi Valley,808.0
88,Borrego Springs,813.0
276,Fullerton,815.0
494,Morgan Hill,817.0
610,Rancho Mirage,817.0
470,Merced,828.0
618,Redwood City,834.0
20,American Canyon,843.0
250,Fairfield,851.0
537,Ojai,860.0
133,Carpinteria,860.0
759,Upland,865.0
615,Redlands,865.0
164,Clovis,867.0
379,La Puente,871.0
493,Moreno Valley,872.0
576,Petaluma,874.0
711,Sonora,874.0
257,Folsom,875.0
185,Covina,884.0
427,Lompoc,887.0
34,Arroyo Grande,889.0
349,Irvine,893.0
758,Union City,896.0
423,Lodi,905.0
654,San Dimas,906.0
145,Ceres,949.0
97,Brea,952.0
180,Costa Mesa,953.0
171,Colton,958.0
50,Banning,981.0
77,Bishop,994.0
40,Auburn,1006.0
119,Camarillo,1008.0
661,San Leandro,1023.0
818,Yuba City,1036.0
559,Palm Desert,1064.0
623,Ridgecrest,1078.0
313,Harbor City,1084.0
757,Ukiah,1086.0
761,Vacaville,1090.0
597,Porterville,1105.0
326,Highland,1119.0
710,Sonoma,1119.0
502,Mountain View,1130.0
131,Carlsbad,1141.0
233,El Centro,1159.0
780,Watsonville,1169.0
541,Orange,1172.0
660,San Juan Capistrano,1216.0
762,Vallejo,1244.0
769,Victorville,1248.0
294,Grass Valley,1272.0
53,Barstow,1296.0
718,Stanton,1301.0
771,Visalia,1312.0
633,Rohnert Park,1316.0
788,West Sacramento,1325.0
114,Calimesa,1337.0
609,Rancho Cucamonga,1356.0
345,Indio,1364.0
179,Corona,1381.0
672,Santa Barbara,1388.0
280,Gardena,1389.0
175,Concord,1412.0
566,Paramount,1418.0
62,Bellflower,1423.0
258,Fontana,1423.0
29,Apple Valley,1427.0
745,Torrance,1442.0
716,Spring Valley,1483.0
279,Garden Grove,1489.0
646,Salinas,1497.0
634,Rosamond,1500.0
236,El Monte,1514.0
662,San Luis Obispo,1581.0
565,Paradise,1586.0
509,Napa,1608.0
550,Oroville,1620.0
730,Sylmar,1697.0
596,Pomona,1706.0
381,La Verne,1754.0
174,Compton,1769.0
656,San Jacinto,1846.0
158,Citrus Heights,1886.0
772,Vista,1927.0
151,Chico,1957.0
394,Lakeside,1972.0
622,Rialto,1981.0
429,Long Beach,2001.0
141,Cathedral City,2012.0
540,Ontario,2017.0
674,Santa Cruz,2026.0
561,Palmdale,2098.0
673,Santa Clarita,2110.0
677,Santa Maria,2201.0
134,Carson,2238.0
766,Ventura,2244.0
684,Santee,2310.0
560,Palm Springs,2351.0
318,Hayward,2397.0
534,Oceanside,2438.0
614,Redding,2569.0
719,Stockton,2662.0
551,Oxnard,2787.0
483,Modesto,2866.0
790,Westminster,2886.0
335,Huntington Beach,2909.0
205,Desert Hot Springs,3277.0
21,Anaheim,3542.0
157,Chula Vista,3566.0
663,San Marcos,3590.0
681,Santa Rosa,3758.0
651,San Bernardino,3861.0
728,Sunnyvale,3920.0
671,Santa Ana,3977.0
245,Escondido,4042.0
629,Riverside,4159.0
397,Lancaster,4177.0
274,Fresno,4192.0
819,Yucaipa,4557.0
48,Bakersfield,4665.0
653,San Diego,4747.0
232,El Cajon,5359.0
644,Sacramento,6729.0
322,Hemet,6987.0
658,San Jose,10667.0
